complex	eggNOG
AP1 adaptor complex	KOG1061@euNOG
AP1 adaptor complex	KOG0937@euNOG
Immunoproteasome	KOG0179@euNOG
Immunoproteasome	KOG0173@euNOG
Immunoproteasome	KOG0184@euNOG
Immunoproteasome	KOG0175@euNOG
Immunoproteasome	KOG0174@euNOG
Immunoproteasome	KOG0181@euNOG
Immunoproteasome	KOG0185@euNOG
Immunoproteasome	KOG0182@euNOG
Immunoproteasome	KOG0178@euNOG
Immunoproteasome	KOG0180@euNOG
Immunoproteasome	KOG0177@euNOG
Immunoproteasome	KOG0863@euNOG
Immunoproteasome	KOG0183@euNOG
Immunoproteasome	KOG0176@euNOG
Mi-2/NuRD-MTA3 complex	KOG3554@euNOG
Mi-2/NuRD-MTA3 complex	0KCT5@euNOG
Mi-2/NuRD-MTA3 complex	KOG1721@euNOG
Mi-2/NuRD-MTA3 complex	KOG1342@euNOG
Cask-Mint-Veli tripartite complex	KOG3605@euNOG
Cask-Mint-Veli tripartite complex	KOG3550@euNOG
AP2 adaptor complex	KOG1077@euNOG
AP2 adaptor complex	KOG0935@euNOG
AP2 adaptor complex	KOG1061@euNOG
AP2 adaptor complex	KOG0937@euNOG
DNA polymerase alpha-primase complex	KOG2851@euNOG
DNA polymerase alpha-primase complex	KOG0970@euNOG
DNA polymerase alpha-primase complex	KOG2267@euNOG
DNA polymerase alpha-primase complex	KOG1625@euNOG
RGS7-Gbeta5-Galphaq complex	KOG0082@euNOG
RGS7-Gbeta5-Galphaq complex	0KDU8@euNOG
DNMT3B complex	KOG0385@euNOG
DNMT3B complex	KOG0244@euNOG
DNMT3B complex	KOG0933@euNOG
DNMT3B complex	KOG1342@euNOG
DNMT3B complex	KOG4204@euNOG
DNMT3B complex	KOG0996@euNOG
DNMT3B complex	0IGHW@euNOG
RAB5-RABAPTIN5\u2013RABEX5 complex	KOG0092@euNOG
RAB5-RABAPTIN5\u2013RABEX5 complex	KOG0993@euNOG
CCT complex (chaperonin containing TCP1 complex)	KOG0360@euNOG
CCT complex (chaperonin containing TCP1 complex)	KOG0362@euNOG
CCT complex (chaperonin containing TCP1 complex)	KOG0361@euNOG
CCT complex (chaperonin containing TCP1 complex)	KOG0363@euNOG
CCT complex (chaperonin containing TCP1 complex)	KOG0358@euNOG
CCT complex (chaperonin containing TCP1 complex)	KOG0357@euNOG
CCT complex (chaperonin containing TCP1 complex)	KOG0359@euNOG
CCT complex (chaperonin containing TCP1 complex)	KOG0364@euNOG
Gbeta5-rgs7 complex	KOG3589@euNOG
Gbeta5-rgs7 complex	0KDU8@euNOG
SIN3 complex	KOG3391@euNOG
SIN3 complex	0IHMG@euNOG
SIN3 complex	KOG0264@euNOG
SIN3 complex	KOG1342@euNOG
SIN3 complex	KOG4204@euNOG
HDAC4-ERK1 complex	KOG0660@euNOG
HDAC4-ERK1 complex	KOG1343@euNOG
Elongin (SIII) complex	KOG4495@euNOG
Elongin (SIII) complex	KOG3473@euNOG
Elongin (SIII) complex	KOG2821@euNOG
HDAC4-ERK2 complex	KOG0660@euNOG
HDAC4-ERK2 complex	KOG1343@euNOG
SMRT complex	KOG1342@euNOG
SMRT complex	0KD7N@euNOG
SMRT complex	0IH6X@euNOG
SMRT complex	KOG1878@euNOG
AP3 adaptor complex	KOG1060@euNOG
AP3 adaptor complex	KOG1059@euNOG
AP3 adaptor complex	KOG2740@euNOG
AP3 adaptor complex	KOG0936@euNOG
Interferon-stimulated gene factor 3 transcription complex ISGF3	KOG3667@euNOG
Interferon-stimulated gene factor 3 transcription complex ISGF3	0IECM@euNOG
Mi2/NuRD complex	KOG3554@euNOG
Mi2/NuRD complex	0KCT5@euNOG
Mi2/NuRD complex	KOG0264@euNOG
Mi2/NuRD complex	KOG1342@euNOG
Mi2/NuRD complex	0IREB@euNOG
MeCP1 complex	KOG3554@euNOG
MeCP1 complex	0KCT5@euNOG
MeCP1 complex	KOG0264@euNOG
MeCP1 complex	KOG1342@euNOG
MeCP1 complex	0IREB@euNOG
MeCP1 complex	0INB9@euNOG
Multiprotein trafficking complex	KOG3605@euNOG
Multiprotein trafficking complex	KOG3827@euNOG
Multiprotein trafficking complex	0ISRH@euNOG
Multiprotein trafficking complex	KOG3550@euNOG
TRAP complex	KOG1875@euNOG
TRAP complex	0IF72@euNOG
TRAP complex	KOG3575@euNOG
TRAP complex	0IEFR@euNOG
TRAP complex	0ISJR@euNOG
TRAP complex	KOG4512@euNOG
TRAP complex	0IE11@euNOG
TRAP complex	0IDXV@euNOG
AP4 adaptor complex	KOG0937@euNOG
AP4 adaptor complex	KOG1062@euNOG
AP4 adaptor complex	KOG0934@euNOG
AP4 adaptor complex	KOG1061@euNOG
ApoB mRNA editing enzyme complex	0IKDF@euNOG
ApoB mRNA editing enzyme complex	KOG0117@euNOG
ApoB mRNA editing enzyme complex	KOG1676@euNOG
CLIC4 complex	KOG3581@euNOG
CLIC4 complex	KOG0446@euNOG
CLIC4 complex	KOG0676@euNOG
CLIC4 complex	KOG0841@euNOG
CLIC4 complex	KOG1376@euNOG
CLIC4 complex	KOG1422@euNOG
HOMER3-IP3R-TRPC1 complex	KOG3609@euNOG
HOMER3-IP3R-TRPC1 complex	0ITRN@euNOG
HOMER3-IP3R-TRPC1 complex	0IIX6@euNOG
Dynein complex	KOG3595@euNOG
Dynein complex	KOG4115@euNOG
Dynein complex	KOG0712@euNOG
Dynein complex	KOG3430@euNOG
Dynein complex	KOG1587@euNOG
Dynein complex	KOG3905@euNOG
Dynein complex	KOG4081@euNOG
nNos-Capon-Dexras1 complex	KOG0395@euNOG
nNos-Capon-Dexras1 complex	KOG1158@euNOG
nNos-Capon-Syn1 complex	KOG3895@euNOG
nNos-Capon-Syn1 complex	KOG1158@euNOG
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	KOG2930@euNOG
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	KOG1724@euNOG
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	KOG2120@euNOG
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	KOG2166@euNOG
Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	KOG2930@euNOG
Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	KOG1724@euNOG
Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	KOG1815@euNOG
Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	0IQD1@euNOG
Nucleic acid channel complex	KOG1496@euNOG
Nucleic acid channel complex	0IIR3@euNOG
NUMAC complex (nucleosomal methylation activator complex)	KOG2510@euNOG
NUMAC complex (nucleosomal methylation activator complex)	0IUMQ@euNOG
NUMAC complex (nucleosomal methylation activator complex)	KOG0676@euNOG
NUMAC complex (nucleosomal methylation activator complex)	KOG1649@euNOG
NUMAC complex (nucleosomal methylation activator complex)	KOG1500@euNOG
NUMAC complex (nucleosomal methylation activator complex)	KOG1279@euNOG
NUMAC complex (nucleosomal methylation activator complex)	KOG4715@euNOG
NUMAC complex (nucleosomal methylation activator complex)	KOG2570@euNOG
NUMAC complex (nucleosomal methylation activator complex)	KOG1243@euNOG
Nup 107-160 subcomplex	0IU4C@euNOG
Nup 107-160 subcomplex	KOG1332@euNOG
Nup 107-160 subcomplex	KOG1964@euNOG
Nup 107-160 subcomplex	KOG4521@euNOG
Nup 107-160 subcomplex	KOG4714@euNOG
Nup 107-160 subcomplex	0KD29@euNOG
Nup 107-160 subcomplex	KOG4121@euNOG
Nup 107-160 subcomplex	KOG2445@euNOG
Nup 107-160 subcomplex	KOG2271@euNOG
SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)	KOG3251@euNOG
SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)	KOG0812@euNOG
SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)	KOG0862@euNOG
SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)	KOG3385@euNOG
SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)	KOG3208@euNOG
SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)	KOG1301@euNOG
FA complex (Fanconi anemia complex), cytoplasmic	0IE5D@euNOG
FA complex (Fanconi anemia complex), cytoplasmic	0IFHR@euNOG
FA complex (Fanconi anemia complex), cytoplasmic	0IK3Y@euNOG
FA complex (Fanconi anemia complex), cytoplasmic	0IKQV@euNOG
CD28-transactivation complex	0IXMM@euNOG
CD28-transactivation complex	0IRS7@euNOG
Anaphase-promoting complex	KOG1126@euNOG
Anaphase-promoting complex	KOG1173@euNOG
Anaphase-promoting complex	KOG1858@euNOG
Anaphase-promoting complex	KOG1155@euNOG
Anaphase-promoting complex	KOG1174@euNOG
Anaphase-promoting complex	KOG4322@euNOG
Anaphase-promoting complex	KOG4640@euNOG
Anaphase-promoting complex	KOG2165@euNOG
Ku antigen-NARG1 complex	KOG2327@euNOG
Ku antigen-NARG1 complex	KOG2326@euNOG
Ku antigen-NARG1 complex	KOG1156@euNOG
Anaphase-promoting complex	KOG3437@euNOG
Anaphase-promoting complex	0IKJN@euNOG
p300-MDM2-p53 protein complex	0IITK@euNOG
p300-MDM2-p53 protein complex	0IGXG@euNOG
p300-MDM2-p53 protein complex	0IRVA@euNOG
hNURF complex	KOG0385@euNOG
hNURF complex	KOG0264@euNOG
Nucleolar remodeling complex (NoRC complex)	KOG1245@euNOG
Nucleolar remodeling complex (NoRC complex)	KOG0385@euNOG
Meiotic cohesin complex	0IJ2Y@euNOG
Meiotic cohesin complex	KOG1213@euNOG
Meiotic cohesin complex	KOG0018@euNOG
Meiotic cohesin complex	KOG0964@euNOG
RNA polymerase II holoenzyme complex	KOG2351@euNOG
RNA polymerase II holoenzyme complex	KOG2905@euNOG
RNA polymerase II holoenzyme complex	KOG1131@euNOG
RNA polymerase II holoenzyme complex	KOG1522@euNOG
RNA polymerase II holoenzyme complex	KOG3218@euNOG
RNA polymerase II holoenzyme complex	KOG1123@euNOG
RNA polymerase II holoenzyme complex	KOG3302@euNOG
RNA polymerase II holoenzyme complex	KOG0260@euNOG
RNA polymerase II holoenzyme complex	KOG2593@euNOG
RNA polymerase II holoenzyme complex	KOG3095@euNOG
RNA polymerase II holoenzyme complex	KOG0214@euNOG
RNA polymerase II holoenzyme complex	KOG2074@euNOG
RNA polymerase II holoenzyme complex	KOG2393@euNOG
RNA polymerase II holoenzyme complex	KOG2691@euNOG
RNA polymerase II holoenzyme complex	KOG3400@euNOG
RNA polymerase II holoenzyme complex	KOG4392@euNOG
RNA polymerase II holoenzyme complex	KOG3507@euNOG
RNA polymerase II holoenzyme complex	KOG3405@euNOG
RNA polymerase II holoenzyme complex	KOG3298@euNOG
RNA polymerase II holoenzyme complex	KOG3497@euNOG
RNA polymerase II holoenzyme complex	KOG1597@euNOG
RNA polymerase II holoenzyme complex	KOG2807@euNOG
RNA polymerase II holoenzyme complex	KOG2487@euNOG
RNA polymerase II holoenzyme complex	KOG3471@euNOG
RNA polymerase II core complex	KOG2351@euNOG
RNA polymerase II core complex	KOG1522@euNOG
RNA polymerase II core complex	KOG3218@euNOG
RNA polymerase II core complex	KOG0260@euNOG
RNA polymerase II core complex	KOG0214@euNOG
RNA polymerase II core complex	KOG2691@euNOG
RNA polymerase II core complex	KOG3400@euNOG
RNA polymerase II core complex	KOG4392@euNOG
RNA polymerase II core complex	KOG3507@euNOG
RNA polymerase II core complex	KOG3405@euNOG
RNA polymerase II core complex	KOG3298@euNOG
RNA polymerase II core complex	KOG3497@euNOG
Srf-myogenin-E12 complex	KOG3960@euNOG
Srf-myogenin-E12 complex	KOG3910@euNOG
Srf-myogenin-E12 complex	KOG0015@euNOG
TFIIH transcription factor complex	KOG1131@euNOG
TFIIH transcription factor complex	KOG1123@euNOG
TFIIH transcription factor complex	KOG2074@euNOG
TFIIH transcription factor complex	KOG0659@euNOG
TFIIH transcription factor complex	KOG2496@euNOG
TFIIH transcription factor complex	KOG3800@euNOG
TFIIH transcription factor complex	KOG2807@euNOG
TFIIH transcription factor complex	KOG2487@euNOG
TFIIH transcription factor complex	KOG3471@euNOG
Prefoldin complex	KOG3478@euNOG
Prefoldin complex	0ISJS@euNOG
Prefoldin complex	KOG3313@euNOG
Prefoldin complex	KOG3048@euNOG
Prefoldin complex	KOG1760@euNOG
Prefoldin complex	KOG4098@euNOG
SNAPc (small nuclear RNA-activating protein) complex	0J33C@euNOG
SNAPc (small nuclear RNA-activating protein) complex	0IX3I@euNOG
SNAPc (small nuclear RNA-activating protein) complex	KOG4746@euNOG
SNAPc (small nuclear RNA-activating protein) complex	KOG0048@euNOG
SNAPc (small nuclear RNA-activating protein) complex	KOG2664@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	0KD02@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	KOG0385@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	KOG0101@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	KOG1721@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	KOG2660@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	0IGCD@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	KOG0311@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	0IPQ5@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	0IDZN@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	0KCPF@euNOG
Polycomb repressive complex 1 (PRC1, hPRC-H)	0KD01@euNOG
GPR56-CD81-Galpha(q/11)-Gbeta complex	KOG0085@euNOG
GPR56-CD81-Galpha(q/11)-Gbeta complex	KOG0082@euNOG
GPR56-CD81-Galpha(q/11)-Gbeta complex	KOG3882@euNOG
GPR56-CD81-Galpha(q/11)-Gbeta complex	0IU52@euNOG
GPR56-CD81-Galpha(q/11)-Gbeta complex	KOG4193@euNOG
GPI-GnT activity complex	KOG1111@euNOG
GPI-GnT activity complex	KOG4551@euNOG
GPI-GnT activity complex	KOG3059@euNOG
GPI-GnT activity complex	KOG1183@euNOG
Lymphotoxin beta receptor complex	0IWT9@euNOG
Lymphotoxin beta receptor complex	0IKNN@euNOG
Lymphotoxin beta receptor complex	0IJP9@euNOG
Rnase/Mrp complex	0IXMT@euNOG
Rnase/Mrp complex	0IHPQ@euNOG
Rnase/Mrp complex	0IXUB@euNOG
Rnase/Mrp complex	KOG4046@euNOG
Rnase/Mrp complex	0INDD@euNOG
Rnase/Mrp complex	KOG2363@euNOG
Rnase/Mrp complex	KOG4639@euNOG
Rnase/Mrp complex	KOG3322@euNOG
Rnase/Mrp complex	KOG2567@euNOG
Rnase/Mrp complex	KOG4394@euNOG
NDC80 kinetochore complex	KOG0995@euNOG
NDC80 kinetochore complex	0IYQI@euNOG
NDC80 kinetochore complex	KOG4438@euNOG
NDC80 kinetochore complex	KOG4657@euNOG
PIDDsome complex	KOG3573@euNOG
PIDDsome complex	0IJAM@euNOG
SDH-mABC1-PIC-ANT-ATPase complex	KOG1353@euNOG
SDH-mABC1-PIC-ANT-ATPase complex	KOG0767@euNOG
SDH-mABC1-PIC-ANT-ATPase complex	KOG3049@euNOG
SDH-mABC1-PIC-ANT-ATPase complex	KOG0749@euNOG
SDH-mABC1-PIC-ANT-ATPase complex	KOG0058@euNOG
SDH-mABC1-PIC-ANT-ATPase complex	KOG2403@euNOG
E-box sequence-binding complex	KOG0490@euNOG
E-box sequence-binding complex	KOG4029@euNOG
E-box sequence-binding complex	KOG2181@euNOG
E-box sequence-binding complex	0JBJY@euNOG
CD147-gamma-secretase complex	0IJET@euNOG
CD147-gamma-secretase complex	KOG2736@euNOG
CD147-gamma-secretase complex	KOG2657@euNOG
CD147-gamma-secretase complex	KOG3972@euNOG
CD147-gamma-secretase complex	KOG3402@euNOG
APP-APBB1-LRP1 complex	0IEKA@euNOG
APP-APBB1-LRP1 complex	KOG3540@euNOG
APP-APBB1-LRP1 complex	KOG1215@euNOG
Gamma-BAR-AP1 complex	KOG1062@euNOG
Gamma-BAR-AP1 complex	KOG0934@euNOG
Gamma-BAR-AP1 complex	KOG1061@euNOG
Gamma-BAR-AP1 complex	0IK27@euNOG
Gamma-BAR-AP1 complex	KOG0937@euNOG
CCT-Prefoldin complex	KOG3478@euNOG
CCT-Prefoldin complex	0ISJS@euNOG
CCT-Prefoldin complex	KOG3313@euNOG
CCT-Prefoldin complex	KOG3048@euNOG
CCT-Prefoldin complex	KOG1760@euNOG
CCT-Prefoldin complex	KOG4098@euNOG
Src-dynamin-synapsin complex	KOG3895@euNOG
Src-dynamin-synapsin complex	KOG0197@euNOG
Src-dynamin-synapsin complex	KOG0446@euNOG
Src-dynamin-synapsin-alpha-adaptin complex	KOG3895@euNOG
Src-dynamin-synapsin-alpha-adaptin complex	KOG1077@euNOG
Src-dynamin-synapsin-alpha-adaptin complex	KOG0446@euNOG
Src-dynamin-synapsin-alpha-adaptin complex	KOG0197@euNOG
PBAF complex (Polybromo- and BAF containing complex)	KOG0679@euNOG
PBAF complex (Polybromo- and BAF containing complex)	0IUMQ@euNOG
PBAF complex (Polybromo- and BAF containing complex)	KOG0676@euNOG
PBAF complex (Polybromo- and BAF containing complex)	KOG1649@euNOG
PBAF complex (Polybromo- and BAF containing complex)	KOG1827@euNOG
PBAF complex (Polybromo- and BAF containing complex)	KOG1279@euNOG
PBAF complex (Polybromo- and BAF containing complex)	KOG4715@euNOG
PBAF complex (Polybromo- and BAF containing complex)	KOG2570@euNOG
TFIIE complex	KOG2593@euNOG
TFIIE complex	KOG3095@euNOG
TFIIF complex (transcription factor IIF)	KOG2905@euNOG
TFIIF complex (transcription factor IIF)	KOG2393@euNOG
Src1-Ep300-Crebbp complex	0IRVA@euNOG
Src1-Ep300-Crebbp complex	0IQ5N@euNOG
Retrotranslocation complex	0IET3@euNOG
Retrotranslocation complex	KOG0802@euNOG
Retrotranslocation complex	KOG0858@euNOG
ATP synthasome	KOG4665@euNOG
ATP synthasome	KOG1350@euNOG
ATP synthasome	0J587@euNOG
ATP synthasome	KOG1353@euNOG
ATP synthasome	KOG0767@euNOG
ATP synthasome	0INNH@euNOG
ATP synthasome	KOG4634@euNOG
ATP synthasome	KOG3495@euNOG
ATP synthasome	KOG4326@euNOG
ATP synthasome	KOG3366@euNOG
ATP synthasome	KOG1758@euNOG
ATP synthasome	KOG3025@euNOG
ATP synthasome	KOG1662@euNOG
Condensin I-PARP-1-XRCC1 complex	KOG0933@euNOG
Condensin I-PARP-1-XRCC1 complex	KOG1037@euNOG
Condensin I-PARP-1-XRCC1 complex	KOG3226@euNOG
Condensin I-PARP-1-XRCC1 complex	KOG2328@euNOG
Condensin I-PARP-1-XRCC1 complex	KOG0414@euNOG
Condensin I-PARP-1-XRCC1 complex	KOG2025@euNOG
Condensin I-PARP-1-XRCC1 complex	KOG0996@euNOG
Condensin II	KOG0933@euNOG
Condensin II	KOG0413@euNOG
Condensin II	0KD3K@euNOG
Condensin II	KOG1949@euNOG
Condensin II	KOG0996@euNOG
SWAP complex	0IRS7@euNOG
SWAP complex	KOG1037@euNOG
SWAP complex	0IHZM@euNOG
SWAP complex	0IIJW@euNOG
COG complex	KOG4182@euNOG
COG complex	KOG2307@euNOG
COG complex	KOG2033@euNOG
COG complex	KOG2604@euNOG
COG complex	KOG2069@euNOG
COG complex	KOG0412@euNOG
COG complex	KOG2211@euNOG
COG complex	KOG3758@euNOG
Cohesin-SA1 complex	0IUVJ@euNOG
Cohesin-SA1 complex	KOG0018@euNOG
Cohesin-SA1 complex	KOG2011@euNOG
Cohesin-SA1 complex	KOG0964@euNOG
Cohesin-SA2 complex	0IUVJ@euNOG
Cohesin-SA2 complex	KOG0018@euNOG
Cohesin-SA2 complex	KOG2011@euNOG
Cohesin-SA2 complex	KOG0964@euNOG
Protein-sorting complex (Stam2, Hgs, Eps15)	KOG2199@euNOG
Protein-sorting complex (Stam2, Hgs, Eps15)	KOG0998@euNOG
Protein-sorting complex (Stam2, Hgs, Eps15)	KOG1818@euNOG
Protein-sorting complex (Stam1, Hgs, Eps15)	KOG0998@euNOG
Protein-sorting complex (Stam1, Hgs, Eps15)	KOG2199@euNOG
Protein-sorting complex (Stam1, Hgs, Eps15)	KOG1818@euNOG
Ric-8A G(i) alpha-1 subunit complex	KOG0082@euNOG
Ric-8A G(i) alpha-1 subunit complex	KOG4464@euNOG
Ric-8A G(i) alpha-2 subunit complex	KOG0082@euNOG
Ric-8A G(i) alpha-2 subunit complex	KOG4464@euNOG
Ric-8A G(o) alpha-1 subunit complex	KOG0082@euNOG
Ric-8A G(o) alpha-1 subunit complex	KOG4464@euNOG
MRN complex (MRE11-RAD50-NBN complex)	0IK5M@euNOG
MRN complex (MRE11-RAD50-NBN complex)	KOG2310@euNOG
MRN complex (MRE11-RAD50-NBN complex)	KOG0962@euNOG
Ric-8A G(q) alpha subunit complex	KOG0082@euNOG
Ric-8A G(q) alpha subunit complex	KOG4464@euNOG
Ric-8A G alpha 13 complex	KOG0082@euNOG
Ric-8A G alpha 13 complex	KOG4464@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3256@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0J463@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG1748@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0J32W@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3389@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4632@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4631@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0J0MG@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3446@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4110@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG1687@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG2870@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3456@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0J2ZX@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG1713@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4633@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0J189@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0IZUV@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4040@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0J0BK@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4630@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4516@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3877@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4009@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4770@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0KCZJ@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4662@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4669@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4668@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0IYM9@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3468@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3196@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG2282@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG2658@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3458@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0IXG2@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3426@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3365@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG2865@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	0IYXZ@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG4808@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3300@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3382@euNOG
Respiratory chain complex I (holoenzyme), mitochondrial	KOG3466@euNOG
